name,type,frameType,race,banlist_info.ban_tcg,atk,def,level,attribute,views,upvotes,downvotes,net_votes
Chimera the King of Phantom Beasts,Fusion Monster,fusion,Beast,,2100.0,1800.0,6.0,WIND,386713,0,0,0
Chimeratech Fortress Dragon,Fusion Monster,fusion,Machine,,0.0,0.0,8.0,DARK,1086327,16,1,15
Chimeratech Megafleet Dragon,Fusion Monster,fusion,Machine,,0.0,0.0,10.0,DARK,1130133,19,7,12
Chimeratech Overdragon,Fusion Monster,fusion,Machine,,-1.0,-1.0,9.0,DARK,492021,21,6,15
Chimeratech Rampage Dragon,Fusion Monster,fusion,Machine,,2100.0,1600.0,5.0,DARK,910358,15,6,9
Chiron the Mage,Effect Monster,effect,Beast-Warrior,,1800.0,1000.0,4.0,EARTH,221480,4,1,3
"Chirubimé, Princess of Autumn Leaves",Effect Monster,effect,Plant,,1800.0,2800.0,8.0,EARTH,67494,8,0,8
Chivalry,Trap Card,trap,Counter,,,,,,21620,1,0,1
"Chiwen, Light of the Yang Zing",Tuner Monster,effect,Wyrm,,0.0,0.0,1.0,LIGHT,132012,3,1,2
Chobham Armor Dragon,Effect Monster,effect,Dragon,,0.0,0.0,1.0,DARK,23787,3,0,3
Chocolate Magician Girl,Effect Monster,effect,Spellcaster,,1600.0,1000.0,4.0,WATER,405115,28,2,26
Choju of the Trillion Hands,Effect Monster,effect,Fairy,,1400.0,1000.0,6.0,LIGHT,50810,0,0,0
Chopman the Desperate Outlaw,Effect Monster,effect,Zombie,,1100.0,500.0,3.0,DARK,73586,0,5,-5
Chorus of Sanctuary,Spell Card,spell,Field,,,,,,247884,2,0,2
Chosen by the World Chalice,Normal Monster,normal,Psychic,,1600.0,0.0,3.0,FIRE,122636,3,1,2
Chosen of Zefra,Trap Card,trap,Continuous,,,,,,17648,4,0,4
Chosen One,Spell Card,spell,Normal,,,,,,164450,5,0,5
Chow Chow Chan,Effect Monster,effect,Beast,,800.0,800.0,2.0,EARTH,28425,3,1,2
Chow Len the Prophet,Effect Monster,effect,Spellcaster,,1800.0,200.0,4.0,FIRE,43114,0,0,0
Chow Sai the Ghost Stopper,Effect Monster,effect,Spellcaster,,1900.0,800.0,4.0,DARK,14766,1,0,1
Chronicle Magician,Effect Monster,effect,Spellcaster,,2500.0,2500.0,7.0,DARK,95785,7,0,7
Chronicle Sorceress,Effect Monster,effect,Spellcaster,,1250.0,1250.0,4.0,DARK,44578,5,0,5
Chronicler of Nephthys,Effect Monster,effect,Spellcaster,,300.0,1200.0,2.0,WIND,56302,3,0,3
Chronograph Sorcerer,Pendulum Effect Monster,effect_pendulum,Spellcaster,,2000.0,1700.0,6.0,DARK,700632,17,2,15
Chronomaly Acambaro Figures,Effect Monster,effect,Rock,,1000.0,1800.0,5.0,EARTH,22662,2,0,2
Chronomaly Aztec Mask Golem,Effect Monster,effect,Rock,,1500.0,1000.0,4.0,EARTH,36086,5,0,5
Chronomaly Cabrera Trebuchet,Effect Monster,effect,Rock,,0.0,1800.0,4.0,EARTH,22458,4,1,3
Chronomaly City Babylon,Spell Card,spell,Field,,,,,,40195,16,0,16
Chronomaly Colossal Head,Effect Monster,effect,Rock,,800.0,1600.0,4.0,EARTH,26290,3,1,2
Chronomaly Crystal Bones,Effect Monster,effect,Rock,,1300.0,400.0,3.0,LIGHT,43665,9,0,9
Chronomaly Crystal Chrononaut,XYZ Monster,xyz,Psychic,,2100.0,1000.0,3.0,LIGHT,69476,7,1,6
Chronomaly Crystal Skull,Effect Monster,effect,Rock,,900.0,600.0,3.0,LIGHT,50729,11,2,9
Chronomaly Esperanza Glyph,Trap Card,trap,Normal,,,,,,22210,1,1,0
Chronomaly Golden Jet,Effect Monster,effect,Machine,,1300.0,1400.0,4.0,LIGHT,65315,2,0,2
Chronomaly Gordian Knot,Effect Monster,effect,Rock,,300.0,900.0,3.0,EARTH,37005,1,0,1
Chronomaly Magella Globe,Effect Monster,effect,Machine,,1500.0,300.0,4.0,LIGHT,23478,1,0,1
Chronomaly Mayan Machine,Effect Monster,effect,Machine,,1500.0,700.0,3.0,EARTH,33020,3,2,1
Chronomaly Moai,Effect Monster,effect,Rock,,1800.0,1600.0,5.0,EARTH,57192,6,1,5
Chronomaly Moai Carrier,Effect Monster,effect,Rock,,900.0,1800.0,5.0,EARTH,54057,2,0,2
Chronomaly Mud Golem,Effect Monster,effect,Rock,,1700.0,1000.0,4.0,EARTH,22551,2,0,2
Chronomaly Nebra Disk,Effect Monster,effect,Machine,,1800.0,1500.0,4.0,LIGHT,44875,4,0,4
Chronomaly Pyramid Eye Tablet,Spell Card,spell,Continuous,,,,,,35627,3,0,3
Chronomaly Sol Monolith,Effect Monster,effect,Rock,,600.0,600.0,6.0,EARTH,29227,4,0,4
Chronomaly Technology,Spell Card,spell,Normal,,,,,,35350,2,0,2
Chronomaly Temple - Trilithon,Spell Card,spell,Continuous,,,,,,26147,2,0,2
Chronomaly Tula Guardian,Effect Monster,effect,Rock,,1800.0,900.0,5.0,EARTH,35420,3,0,3
Chronomaly Tuspa Rocket,Effect Monster,effect,Rock,,1000.0,1000.0,4.0,EARTH,37808,3,0,3
Chronomaly Vimana,XYZ Monster,xyz,Machine,,2300.0,2600.0,5.0,LIGHT,210221,5,0,5
Chronomaly Winged Sphinx,Effect Monster,effect,Rock,,1600.0,1900.0,5.0,EARTH,36276,3,2,1
Chrysalis Chicky,Effect Monster,effect,Winged Beast,,600.0,400.0,2.0,WIND,23506,1,2,-1
Chrysalis Dolphin,Effect Monster,effect,Fish,,400.0,600.0,2.0,WATER,47444,1,3,-2
Chrysalis Larva,Effect Monster,effect,Insect,,300.0,300.0,2.0,FIRE,23207,4,1,3
Chrysalis Mole,Effect Monster,effect,Rock,,700.0,100.0,2.0,EARTH,24208,1,1,0
Chrysalis Pantail,Effect Monster,effect,Beast,,800.0,300.0,2.0,DARK,25947,3,1,2
Chrysalis Pinny,Effect Monster,effect,Plant,,100.0,700.0,2.0,LIGHT,23676,1,2,-1
Chthonian Alliance,Spell Card,spell,Equip,,,,,,69352,3,0,3
Chthonian Blast,Trap Card,trap,Normal,,,,,,88769,1,2,-1
Chthonian Emperor Dragon,Gemini Monster,effect,Dragon,,2400.0,1500.0,6.0,FIRE,66736,18,0,18
Chthonian Polymer,Trap Card,trap,Normal,,,,,,94900,11,2,9
Chthonian Soldier,Effect Monster,effect,Warrior,,1200.0,1400.0,4.0,DARK,76617,0,0,0
Chu-Ske the Mouse Fighter,Normal Monster,normal,Beast,,1200.0,0.0,3.0,EARTH,47681,6,3,3
Cipher Biplane,Effect Monster,effect,Machine,,1000.0,2000.0,6.0,LIGHT,38170,2,0,2
Cipher Bit,Trap Card,trap,Normal,,,,,,49563,4,0,4
Cipher Etranger,Effect Monster,effect,Spellcaster,,0.0,0.0,1.0,LIGHT,58201,4,0,4
Cipher Interference,Spell Card,spell,Continuous,,,,,,28118,2,0,2
Cipher Mirror Knight,Effect Monster,effect,Warrior,,0.0,0.0,4.0,LIGHT,70320,4,0,4
Cipher Soldier,Effect Monster,effect,Machine,,1350.0,1800.0,3.0,EARTH,160217,14,4,10
Cipher Spectrum,Trap Card,trap,Normal,,,,,,64484,3,1,2
Cipher Twin Raptor,Effect Monster,effect,Machine,,1600.0,800.0,4.0,LIGHT,84381,5,3,2
Cipher Wing,Effect Monster,effect,Machine,,1400.0,1200.0,4.0,LIGHT,82429,3,2,1
"Cir, Malebranche of the Burning Abyss",Effect Monster,effect,Fiend,,1600.0,1200.0,3.0,DARK,390520,8,1,7
Circle of the Fairies,Synchro Monster,synchro,Plant,,2200.0,2500.0,7.0,WIND,86207,0,0,0
Circle of the Fire Kings,Spell Card,spell,Quick-Play,,,,,,199879,2,0,2
Citadel Whale,Effect Monster,effect,Fish,,2350.0,2150.0,7.0,WATER,118055,12,0,12
"Clara & Rushka, the Ventriloduo",Link Monster,link,Spellcaster,,0.0,,0.0,EARTH,179591,20,4,16
Clashing Souls,Spell Card,spell,Quick-Play,,,,,,29115,7,1,6
"Clavkiys, the Magikey Skyblaster",Normal Monster,normal,Warrior,,1900.0,1900.0,4.0,DARK,112896,3,1,2
Claw Reacher,Normal Monster,normal,Fiend,,1000.0,800.0,3.0,DARK,46220,4,0,4
Clay Charge,Trap Card,trap,Normal,,,,,,44908,5,4,1
Clear Cube,Effect Monster,effect,Machine,,0.0,0.0,1.0,DARK,21046,0,0,0
Clear Effector,Effect Monster,effect,Spellcaster,,0.0,900.0,2.0,LIGHT,24872,2,0,2
Clear Kuriboh,Effect Monster,effect,Fairy,,300.0,200.0,1.0,LIGHT,170233,5,3,2
Clear New World,Spell Card,spell,Normal,,,,,,35496,0,1,-1
Clear Phantom,Effect Monster,effect,Fiend,,1200.0,800.0,3.0,DARK,23657,0,0,0
Clear Rage Golem,Effect Monster,effect,Rock,,1600.0,1800.0,4.0,DARK,19022,0,0,0
Clear Vice Dragon,Effect Monster,effect,Dragon,,-1.0,0.0,8.0,DARK,58341,9,2,7
Clear Vicious Knight,Effect Monster,effect,Warrior,,2300.0,1100.0,7.0,DARK,31402,0,0,0
Clear Wall,Spell Card,spell,Continuous,,,,,,22411,0,0,0
Clear Wing Fast Dragon,Synchro Pendulum Effect Monster,synchro_pendulum,Dragon,,2500.0,2000.0,7.0,WIND,268384,10,0,10
Clear Wing Synchro Dragon,Synchro Monster,synchro,Dragon,,2500.0,2000.0,7.0,WIND,843301,34,4,30
"Clear Wing Synchro Dragon, Four Heavenly Dragons",Synchro Monster,synchro,Dragon,,2500.0,2000.0,7.0,WIND,23015,0,0,0
Clear World,Spell Card,spell,Field,,,,,,55026,2,0,2
Cliant,Effect Monster,effect,Cyberse,,1500.0,1500.0,3.0,LIGHT,25391,6,2,4
Click & Echo,Effect Monster,effect,Sea Serpent,,300.0,2100.0,2.0,WATER,25469,0,0,0
Cloak and Dagger,Trap Card,trap,Continuous,,,,,,47154,3,1,2
Clock Arc,Pendulum Effect Monster,effect_pendulum,Machine,,600.0,1200.0,4.0,DARK,18097,0,0,0
Clock Lizard,Link Monster,link,Cyberse,,1200.0,,,DARK,49210,7,3,4
Clock Resonator,Tuner Monster,effect,Fiend,,1200.0,600.0,3.0,EARTH,97129,3,2,1
Clock Spartoi,Link Monster,link,Cyberse,,800.0,,0.0,DARK,93292,6,1,5
Clock Tower Prison,Spell Card,spell,Field,,,,,,101882,11,2,9
Clock Wyvern,Effect Monster,effect,Cyberse,,1800.0,1000.0,4.0,WIND,251025,10,1,9
Clockwork Knight,Link Monster,link,Machine,,500.0,,,EARTH,371663,0,0,0
Clockwork Night,Spell Card,spell,Continuous,,,,,,405944,0,0,0
Cloning,Trap Card,trap,Normal,,,,,,89294,6,0,6
"Clorless, Chaos King of Dark World",Fusion Monster,fusion,Fiend,,-1.0,-1.0,12.0,DARK,108072,0,0,0
Closed Forest,Spell Card,spell,Field,,,,,,72372,11,0,11
Cloudcastle,Synchro Monster,synchro,Machine,,0.0,3000.0,9.0,WIND,286109,12,0,12
Cloudian - Acid Cloud,Effect Monster,effect,Fairy,,500.0,0.0,4.0,WATER,57549,6,0,6
Cloudian - Altus,Effect Monster,effect,Fairy,,1300.0,0.0,4.0,WATER,54540,4,0,4
Cloudian - Cirrostratus,Effect Monster,effect,Fairy,,900.0,0.0,4.0,WATER,58576,4,1,3
Cloudian - Eye of the Typhoon,Effect Monster,effect,Aqua,,3000.0,1000.0,8.0,WIND,58726,5,1,4
Cloudian - Ghost Fog,Effect Monster,effect,Fiend,,0.0,0.0,1.0,WATER,46119,2,0,2
Cloudian - Nimbusman,Effect Monster,effect,Fairy,,1000.0,1000.0,5.0,WATER,59998,8,1,7
Cloudian - Poison Cloud,Effect Monster,effect,Fiend,,0.0,1000.0,3.0,WATER,54479,3,0,3
Cloudian - Sheep Cloud,Effect Monster,effect,Fairy,,0.0,0.0,1.0,WATER,41044,2,3,-1
Cloudian - Smoke Ball,Normal Monster,normal,Fairy,,200.0,600.0,1.0,WATER,63840,12,0,12
Cloudian - Storm Dragon,Effect Monster,effect,Fairy,,1000.0,0.0,4.0,WATER,64487,3,0,3
Cloudian - Turbulence,Effect Monster,effect,Fairy,,800.0,0.0,4.0,WATER,75211,4,0,4
Cloudian Aerosol,Spell Card,spell,Normal,,,,,,42847,6,0,6
Cloudian Squall,Spell Card,spell,Continuous,,,,,,52828,3,0,3
Cloudy Skies of Grey,Skill Card,skill,Adrian Gecko,,,,,,1369,0,0,0
Clown Crew Biancaviso,Effect Monster,effect,Illusion,,2500.0,2500.0,7.0,LIGHT,192718,0,0,0
Clown Crew Diabolo,Fusion Monster,fusion,Beast-Warrior,,200.0,1800.0,5.0,LIGHT,101619,0,0,0
Clown Crew Dristy,Link Monster,link,Beast-Warrior,,1000.0,,,LIGHT,48343,0,0,0
Clown Crew Fiends,XYZ Monster,xyz,Beast-Warrior,,0.0,2000.0,3.0,LIGHT,97272,0,0,0
Clown Crew Finale,Trap Card,trap,Normal,,,,,,36102,0,0,0
Clown Crew Flair,Ritual Effect Monster,ritual,Beast-Warrior,,500.0,1000.0,1.0,LIGHT,179953,0,0,0
Clown Crew Malabarisme,Spell Card,spell,Quick-Play,,,,,,124589,0,0,0
Clown Crew Matinee Operatics,Spell Card,spell,Continuous,,,,,,88306,0,0,0
Clown Crew Meteor,Synchro Monster,synchro,Beast-Warrior,,600.0,1300.0,6.0,LIGHT,102595,0,0,0
Clown Crew New Face,Trap Card,trap,Continuous,,,,,,53636,0,0,0
Clown Crew Rehearsal,Spell Card,spell,Normal,,,,,,142452,0,0,0
Clown Crew Soiree Operations,Trap Card,trap,Normal,,,,,,75856,0,0,0
Clown Zombie,Normal Monster,normal,Zombie,,1350.0,0.0,2.0,DARK,77860,8,2,6
Cluster Congester,Effect Monster,effect,Cyberse,,1000.0,2200.0,7.0,LIGHT,24151,5,2,3
Coach Captain Bearman,Effect Monster,effect,Beast-Warrior,,2600.0,2700.0,8.0,FIRE,32148,2,0,2
Coach Goblin,Effect Monster,effect,Fiend,,1200.0,1500.0,4.0,EARTH,61541,4,0,4
Coach King Giantrainer,XYZ Monster,xyz,Warrior,,2800.0,2000.0,8.0,FIRE,265377,2,0,2
Coach Soldier Wolfbark,Effect Monster,effect,Beast-Warrior,,1600.0,1200.0,4.0,FIRE,68096,2,0,2
Cobra Jar,Flip Effect Monster,effect,Reptile,,600.0,300.0,2.0,EARTH,118334,6,2,4
Cobraman Sakuzy,Effect Monster,effect,Reptile,,800.0,1400.0,3.0,EARTH,79622,8,1,7
Cocatorium the Heavy Metal Avian,Effect Monster,effect,Winged Beast,,1300.0,900.0,4.0,WIND,67773,5,1,4
Cockadoodledoo,Tuner Monster,effect,Winged Beast,,1600.0,2000.0,5.0,WIND,151041,4,2,2
Cockroach Knight,Effect Monster,effect,Insect,,800.0,900.0,3.0,EARTH,125262,4,1,3
Cocoon of Evolution,Effect Monster,effect,Insect,,0.0,2000.0,3.0,EARTH,354803,12,2,10
Cocoon of Ultra Evolution,Spell Card,spell,Quick-Play,,,,,,143256,14,0,14
Cocoon of Ultra Evolution (Skill Card),Skill Card,skill,Weevil,,,,,,6137,2,0,2
Cocoon Party,Spell Card,spell,Normal,,,,,,23999,2,3,-1
Cocoon Rebirth,Spell Card,spell,Continuous,,,,,,21281,1,1,0
Cocoon Veil,Trap Card,trap,Normal,,,,,,18950,1,1,0
Codarus,Effect Monster,effect,Sea Serpent,,1400.0,1200.0,4.0,WATER,84005,3,1,2
Code A Ancient Ruins,Spell Card,spell,Continuous,,,,,,89832,3,0,3
Code Exporter,Effect Monster,effect,Cyberse,,500.0,2300.0,5.0,WIND,96597,9,1,8
Code Generator,Effect Monster,effect,Cyberse,,1300.0,500.0,3.0,EARTH,253858,20,0,20
Code Hack,Trap Card,trap,Continuous,,,,,,14598,0,0,0
Code Igniter,XYZ Monster,xyz,Cyberse,,2300.0,2000.0,4.0,DARK,122732,0,0,0
Code of Soul,Effect Monster,effect,Cyberse,,500.0,500.0,3.0,FIRE,173969,0,0,0
Code Radiator,Effect Monster,effect,Cyberse,,1600.0,800.0,4.0,WATER,195658,14,2,12
Code Talker,Link Monster,link,Cyberse,,1300.0,,0.0,DARK,291732,13,4,9
Code Talker Inverted,Link Monster,link,Cyberse,,1300.0,,,LIGHT,198795,11,1,10
Codebreaker Virus Berserker,Link Monster,link,Warrior,,2800.0,,,DARK,123830,3,1,2
Codebreaker Virus Swordsman,Link Monster,link,Warrior,,2300.0,,,DARK,260740,117,2,115
Codebreaker Zero Day,Effect Monster,effect,Warrior,,1800.0,0.0,4.0,DARK,159213,3,3,0
Coffin Seller,Trap Card,trap,Continuous,,,,,,168413,4,1,3
Cold Enchanter,Effect Monster,effect,Aqua,,1600.0,1200.0,4.0,WATER,58771,7,0,7
Cold Feet,Spell Card,spell,Quick-Play,,,,,,23324,2,1,1
Cold Wave,Spell Card,spell,Normal,Forbidden,,,,,296772,7,1,6
Cold-Blooded Tactician,Skill Card,skill,Thelonious Vi,,,,,,1464,0,0,0
Collected Power,Trap Card,trap,Normal,,,,,,192665,2,0,2
Colonel on C-String,Effect Monster,effect,Warrior,,1400.0,1600.0,4.0,LIGHT,16093,0,0,0
Colossal Fighter,Synchro Monster,synchro,Warrior,,2800.0,1000.0,8.0,DARK,313178,5,0,5
Colossal Fighter/Assault Mode,Effect Monster,effect,Warrior,,3300.0,1500.0,10.0,DARK,39433,3,2,1
Colosseum - Cage of the Gladiator Beasts,Spell Card,spell,Field,,,,,,58894,3,3,0
Column Switch,Spell Card,spell,Quick-Play,,,,,,16432,2,0,2
Combat Wheel,Synchro Monster,synchro,Machine,,2500.0,1200.0,6.0,EARTH,11680,0,0,0
Combination Attack,Spell Card,spell,Quick-Play,,,,,,85739,5,0,5
Combined Maneuver - Engage Zero!,Link Monster,link,Machine,,1500.0,,,LIGHT,125030,0,0,0
Combo Fighter,Effect Monster,effect,Warrior,,1600.0,800.0,4.0,WIND,31006,2,0,2
Combo Master,Effect Monster,effect,Warrior,,2200.0,1500.0,5.0,WIND,30526,0,0,0
Comic Hand,Spell Card,spell,Equip,,,,,,279256,9,1,8
Comics Hero King Arthur,XYZ Monster,xyz,Warrior,,2400.0,1200.0,4.0,EARTH,81496,4,3,1
Command Knight,Effect Monster,effect,Warrior,,1200.0,1900.0,4.0,FIRE,206940,10,1,9
Command Performance,Trap Card,trap,Normal,,,,,,39120,0,3,-3
Commander Covington,Effect Monster,effect,Machine,,1000.0,600.0,4.0,EARTH,24311,1,1,0
"Commander Gottoms, Swordmaster",Effect Monster,effect,Beast-Warrior,,2100.0,1600.0,6.0,EARTH,23902,1,2,-1
Commander of Swords,Trap Card,trap,Normal,,,,,,22671,3,0,3
"Commander Souza, Swordmaster",Synchro Monster,synchro,Warrior,,2500.0,1600.0,10.0,EARTH,20281,0,0,0
Commencement Dance,Spell Card,spell,Ritual,,,,,,141343,4,0,4
Common Charity,Trap Card,trap,Normal,,,,,,77708,8,0,8
Common Soul,Spell Card,spell,Continuous,,,,,,65451,4,2,2
Compulsory Escape Device,Trap Card,trap,Normal,,,,,,53885,4,0,4
Compulsory Evacuation Device,Trap Card,trap,Normal,,,,,,1177969,23,7,16
Comrade Swordsman of Landstar,Tuner Monster,effect,Warrior,,500.0,1200.0,3.0,EARTH,92783,7,1,6
Conbirdable,Flip Effect Monster,effect,Winged Beast,,1400.0,2800.0,8.0,EARTH,31873,0,0,0
Concentrating Current,Spell Card,spell,Quick-Play,,,,,,51330,1,0,1
Concours de Cuisine (Culinary Confrontation),Spell Card,spell,Quick-Play,,,,,,135776,0,0,0
Condemned Darklord,Link Monster,link,Fairy,,1600.0,,,DARK,317270,35,4,31
Condemned Maiden,Effect Monster,effect,Fairy,,100.0,2000.0,4.0,LIGHT,38904,10,0,10
Condemned Witch,Effect Monster,effect,Fairy,,100.0,2000.0,4.0,DARK,296724,13,2,11
Condolence Puppet,Spell Card,spell,Normal,,,,,,160612,3,0,3
Conduction Warrior Linear Magnum Plus Minus,Effect Monster,effect,Rock,,2700.0,1300.0,7.0,EARTH,206569,0,0,0
Conduction Warrior Plasma Magnum,Fusion Monster,fusion,Rock,,2300.0,2800.0,7.0,EARTH,137524,0,0,0
Confiscation,Spell Card,spell,Normal,Forbidden,,,,,276647,9,2,7
"Confronting the ""C""",Effect Monster,effect,Insect,,1100.0,2500.0,5.0,EARTH,36751,1,1,0
Confusion Chaff,Trap Card,trap,Normal,,,,,,44909,1,0,1
Conscription,Trap Card,trap,Normal,,,,,,92494,1,1,0
Consecrated Light,Effect Monster,effect,Fairy,,0.0,0.0,1.0,LIGHT,77384,4,3,1
Consolation Prize,Trap Card,trap,Normal,,,,,,16777,4,1,3
Constellar Acubens,Effect Monster,effect,Machine,,800.0,2000.0,4.0,LIGHT,27947,2,0,2
Constellar Aldebaran,Effect Monster,effect,Beast-Warrior,,1300.0,800.0,3.0,LIGHT,27847,4,2,2
Constellar Algiedi,Effect Monster,effect,Spellcaster,,1600.0,1400.0,4.0,LIGHT,60990,4,0,4
Constellar Alrescha,Effect Monster,effect,Warrior,,2200.0,1200.0,6.0,LIGHT,32762,1,0,1
Constellar Antares,Effect Monster,effect,Machine,,2400.0,900.0,6.0,LIGHT,32115,3,1,2
Constellar Belt,Spell Card,spell,Continuous,,,,,,66807,3,0,3
Constellar Caduceus,Effect Monster,effect,Spellcaster,,1600.0,1550.0,4.0,LIGHT,104412,1,0,1
Constellar Castor,Effect Monster,effect,Fairy,,1700.0,600.0,4.0,LIGHT,57379,0,0,0
Constellar Hyades,XYZ Monster,xyz,Beast-Warrior,,1900.0,1100.0,3.0,LIGHT,51760,2,2,0
Constellar Kaus,Effect Monster,effect,Beast-Warrior,,1800.0,700.0,4.0,LIGHT,66904,4,1,3
Constellar Leonis,Effect Monster,effect,Beast,,1000.0,1800.0,3.0,LIGHT,34329,2,1,1
Constellar Meteor,Trap Card,trap,Normal,,,,,,29375,2,0,2
Constellar Omega,XYZ Monster,xyz,Beast-Warrior,,2400.0,500.0,4.0,LIGHT,96233,2,2,0
Constellar Pleiades,XYZ Monster,xyz,Warrior,,2500.0,1500.0,5.0,LIGHT,590560,11,2,9
Constellar Pollux,Effect Monster,effect,Warrior,,1700.0,600.0,4.0,LIGHT,70476,4,1,3
Constellar Praesepe,XYZ Monster,xyz,Machine,,2400.0,800.0,4.0,LIGHT,57080,2,2,0
Constellar Ptolemy M7,XYZ Monster,xyz,Machine,,2700.0,2000.0,6.0,LIGHT,585346,17,2,15
Constellar Rasalhague,Effect Monster,effect,Spellcaster,,900.0,100.0,2.0,LIGHT,29630,1,1,0
Constellar Sheratan,Effect Monster,effect,Beast,,700.0,1900.0,3.0,LIGHT,70287,1,0,1
Constellar Siat,Effect Monster,effect,Fairy,,100.0,1600.0,1.0,LIGHT,37591,1,0,1
Constellar Sombre,Effect Monster,effect,Fairy,,1550.0,1600.0,4.0,LIGHT,64405,2,0,2
Constellar Star Chart,Spell Card,spell,Continuous,,,,,,42735,1,0,1
Constellar Star Cradle,Spell Card,spell,Normal,,,,,,34721,2,1,1
Constellar Tellarknights,Spell Card,spell,Continuous,,,,,,69344,0,0,0
Constellar Tempest,Spell Card,spell,Continuous,,,,,,26070,2,2,0
Constellar Twinkle,Spell Card,spell,Normal,,,,,,41848,1,2,-1
Constellar Virgo,Effect Monster,effect,Fairy,,2300.0,1600.0,5.0,LIGHT,37546,2,0,2
Constellar Zubeneschamali,Effect Monster,effect,Machine,,2100.0,1400.0,5.0,LIGHT,37177,2,0,2
Construction Train Signal Red,Effect Monster,effect,Machine,,1000.0,1300.0,3.0,EARTH,66474,3,2,1
Consumed By Darkness,Skill Card,skill,Yubel,,,,,,3092,0,0,0
Contact,Spell Card,spell,Normal,,,,,,46864,0,0,0
"Contact ""C""",Effect Monster,effect,Insect,,1500.0,2200.0,6.0,EARTH,256648,10,3,7
Contact Gate,Spell Card,spell,Normal,,,,,,87250,8,5,3
Contact Out,Spell Card,spell,Quick-Play,,,,,,47769,1,1,0
Contact with Gusto,Spell Card,spell,Normal,,,,,,27581,4,0,4
Contact with the Aquamirror,Spell Card,spell,Normal,,,,,,28158,3,0,3
CONTAIN!,Trap Card,trap,Normal,,,,,,101093,0,0,0
Continuous Destruction Punch,Spell Card,spell,Continuous,,,,,,69474,6,1,5
Contract Laundering,Trap Card,trap,Normal,,,,,,37189,7,3,4
Contract with Don Thousand,Spell Card,spell,Continuous,,,,,,153961,4,1,3
Contract with Exodia,Spell Card,spell,Normal,,,,,,207259,29,8,21
Contract with the Abyss,Spell Card,spell,Ritual,,,,,,167965,12,0,12
Contract with the Dark Master,Spell Card,spell,Ritual,,,,,,113028,5,2,3
Contrast HERO Chaos,Fusion Monster,fusion,Warrior,,3000.0,2600.0,9.0,DARK,181447,266,2,264
Converging Wills Dragon,Tuner Monster,effect,Dragon,,0.0,0.0,1.0,LIGHT,211198,3,0,3
Converging Wishes,Trap Card,trap,Normal,,,,,,38579,1,0,1
Convert Contact,Spell Card,spell,Normal,,,,,,186500,7,2,5
Convex Knight,Effect Monster,effect,Machine,,1800.0,500.0,4.0,EARTH,79551,0,0,0
Convulsion of Nature,Spell Card,spell,Continuous,,,,,,150585,15,0,15
Cooky★Yummy Way,Synchro Tuner Monster,synchro,Beast,,1600.0,0.0,2.0,LIGHT,307382,0,0,0
Cooky☆Yummy,Effect Monster,effect,Beast,,1000.0,0.0,1.0,LIGHT,540308,0,0,0
Cooling Embers,Effect Monster,effect,Pyro,,500.0,1500.0,3.0,FIRE,17181,0,0,0
Coordius the Triphasic Dealmon,Fusion Monster,fusion,Fiend,,3000.0,3000.0,9.0,DARK,63926,4,0,4
Copy Knight,Trap Card,trap,Continuous,,,,,,57683,3,2,1
Copy Plant,Tuner Monster,effect,Plant,,0.0,0.0,1.0,WIND,120705,2,0,2
Copycat,Effect Monster,effect,Spellcaster,,0.0,0.0,1.0,LIGHT,226136,17,2,15
Coral Dragon,Synchro Tuner Monster,synchro,Dragon,,2400.0,500.0,6.0,WATER,835770,9,2,7
Core Blast,Trap Card,trap,Continuous,,,,,,16235,1,0,1
Core Blaster,Spell Card,spell,Equip,,,,,,20985,0,0,0
Core Compression,Spell Card,spell,Normal,,,,,,19225,2,0,2
Core of Chaos,Tuner Monster,effect,Thunder,,0.0,1600.0,2.0,LIGHT,67570,0,0,0
Core Overclock,Spell Card,spell,Continuous,,,,,,19998,2,0,2
Core Reinforcement,Trap Card,trap,Continuous,,,,,,28929,1,0,1
Core Transport Unit,Spell Card,spell,Continuous,,,,,,20794,1,1,0
Cornfield Coatl,Effect Monster,effect,Illusion,,500.0,1700.0,4.0,WIND,329339,0,0,0
Corridor of Agony,Spell Card,spell,Continuous,,,,,,23722,2,0,2
Corroding Shark,Normal Monster,normal,Zombie,,1100.0,700.0,3.0,DARK,48833,8,0,8
Corrosive Scales,Trap Card,trap,Normal,,,,,,37754,13,1,12
Corrupted Keys,Trap Card,trap,Normal,,,,,,30127,0,0,0
"Corruption Cell ""A""",Spell Card,spell,Normal,,,,,,39912,1,0,1
Cosmic Blazar Dragon,Synchro Monster,synchro,Dragon,,4000.0,4000.0,12.0,WIND,1001160,47,7,40
Cosmic Compass,Effect Monster,effect,Machine,,100.0,300.0,1.0,EARTH,51858,3,0,3
Cosmic Cyclone,Spell Card,spell,Quick-Play,,,,,,3260180,25,8,17
Cosmic Flare,Spell Card,spell,Quick-Play,,,,,,69318,4,1,3
Cosmic Fortress Gol'gar,Synchro Monster,synchro,Reptile,,2600.0,1800.0,5.0,LIGHT,118889,24,1,23
Cosmic Horror Gangi'el,Effect Monster,effect,Reptile,,2600.0,2000.0,7.0,LIGHT,67711,4,2,2
Cosmic Slicer Zer'oll,Link Monster,link,Reptile,,2600.0,,,LIGHT,92630,4,0,4
